"indication"|"icd"|"source_data"
Iron-deficiency anemia|ICD-11: 3A00|public
Jock itch|ICD-11: 1F28.3|public
Lipidaemia|ICD-11: 5C8Z|public
Liver cirrhosis|ICD-11: DB93.1|public
Lymphatic disease|ICD-11: BD9Z|public
Mammary analogue secretory carcinoma|ICD-11: 2C60|public
Measles|ICD-11: 1F03|public
Melanoma|ICD-11: 2C30|public
Melioidosis|ICD-11: 1C42|public
Mental disease|ICD-11: 6E8Z|public
Metastatic liver cancer|ICD-11: 2C12|public
Nail/perionychium infection|ICD-11: EE12|public
Neurogenic detrusor overactivity|ICD-11: GC01|public
Neutropenia|ICD-11: 4B00|public
Non-dermatophyte superficial dermatomycose|ICD-11: 1F2D|public
Non-proliferative diabetic retinopathy|ICD-11: 9B71.00|public
Occlusive arterial disease|ICD-11: BD4Z|public
Occlusive disease|ICD-11: BD4Z|public
Oesophagogastric junction cancer|ICD-11: 2B71.Z|public
Oral lichen planus|ICD-11: EA91.4|public
Promyelocytic leukaemia|ICD-11: 2A82.1|public
Pyoderma gangrenosum|ICD-11: EB21|public
Respiratory syndrome coronavirus infection|ICD-11: 1D92|public
Ricin poisoning|ICD-11: NE61|public
Secondary hypertension|ICD-11: BA04|public
Sepsis|ICD-11: 1G40-1G41|public
Skin tag/polyp|ICD-11: EK71|public
Skin/mucosal anomaly|ICD-11: LD27|public
Streptococcus infection|ICD-11: 1B53|public
T-cell lymphoma|ICD-11: 2A90|public
Testosterone deficiency|ICD-11: 5A81.1|public
Trichuris trichiura infection|ICD-11: 1F6G|public
Urinary system clinical sympton|ICD-11: MF8Y|public
Ventilator-associated pneumonia|ICD-11: PK81.0|public
Visual disturbance|ICD-11: 9D90|public
Worm infection|ICD-11: 1F90.Z|public
Acquired nystagmus|ICD-11: 9C84|public
Actinic keratosis|ICD-11: EK90.0|public
Acute myocardial infarction|ICD-11: BA41|public
Airway inflammation|ICD-11: CA05|public
Amyotrophic lateral sclerosis|ICD-11: 8B60.0|public
B-cell chronic lymphocytic leukaemia|ICD-11: 2A82.00|public
Bacteremia|ICD-11: 1A73|public
Bone metastases|ICD-11: 2D50|public
Breathing abnormality|ICD-11: MD11|public
Bupicavaine toxicity|ICD-11: NE6Z|public
Cardiac arrest|ICD-11: MC82|public
Cardiac fibrosis|ICD-11: DB98.8|public
Cartilage disorder|ICD-11: FA34|public
Cerebral cavernous malformation|ICD-11: 8B22.41|public
Cerebral edema|ICD-11: 8D60.1|public
Clostridium difficile enterocolitis|ICD-11: 1A04|public
Congenital myopathy|ICD-11: 8C72|public
Ductal carcinoma|ICD-11: 2E65.2|public
Facial wrinkles|ICD-11: EJ9Y|public
Fungal infection|ICD-11: 1F29-1F2F|public
GM2 gangliosidosis|ICD-11: 5C56.00|public
Ganglioneuroblastoma|ICD-11: 2A00.11|public
Gastroesophageal junction adenocarcinoma|ICD-11: 2B71|public
Heterozygous familial hypercholesterolemia|ICD-11: 5C80.00|public
Hypokalemia|ICD-11: 5C77|public
Intentional self-harm|ICD-11: PC91|public
Intracranial embolism|ICD-11: 8B22|public
Joint infection|ICD-11: FA10|public
Kidney cancer|ICD-11: 2C90.0|public
Labyrinthitis|ICD-11: AB30.1|public
Lipoprotein disorder|ICD-11: 5C80-5C8Z|public
Macular telangiectasia type 2|ICD-11: 9B75.3|public
Maroteaux-lamy syndrome|ICD-11: 5C56.33|public
Meningioma metastases|ICD-11: 2D51|public
Mental/behavioural/neurodevelopmental disorder|ICD-11: 6E20-6E8Z|public
Metastatic epithelial tumour|ICD-11: 2D60|public
Miscarriage|ICD-11: JA00.0|public
Monitored anaesthesia care|ICD-11: N.A.|public
Mumps virus infection|ICD-11: 1D80|public
Non-muscle invasive bladder cancer|ICD-11: 2C94|public
Obstetric embolism|ICD-11: JB42|public
Oral mucositis|ICD-11: DA01|public
Ovarian cancer|ICD-11: 2C73|public
Paraganglioma|ICD-11: 2E92.2|public
Paratyphoid (A) enteric fever|ICD-11: 1A08|public
Peritoneal mesothelioma|ICD-11: 2C51.2|public
Pituitary hypofunction|ICD-11: 5A61|public
Pollakiuria|ICD-11: MF50.1|public
Rubella prophylaxis|ICD-11: 1F02|public
Secondary hyperparathyroidism|ICD-11: 5A51.1|public
Syndrome X|ICD-11: 5C53.4|public
Tauopathy|ICD-11: 6D85.Y|public
Tendon injuries|ICD-11: NC96.0|public
Thymic cancer|ICD-11: 2C27|public
Thyroid disease|ICD-11: 5A00-5A06|public
Tibial nonunions|ICD-11: FB80.8|public
Transplant rejection|ICD-11: NE84|public
Traumatic brain injury|ICD-11: NA07.Z|public
Urinary dysfunction|ICD-11: GC2Z|public
Urinary system disease|ICD-11: GC2Z|public
Vaginal infection|ICD-11: GA02.0|public
Vascular system developmental anomaly|ICD-11: LA90|public
Whim syndrome|ICD-11: 4A00.Y|public
Wiskott-Aldrich syndrome|ICD-11: 3B62.0|public
Zinc deficiency|ICD-11: 5B5K.2|public
concerning food/fluid intake symptom|ICD-11: MG43|public
Achromatopsia|ICD-11: 9B70|public
Acquired haemolytic anaemia|ICD-11: 3A20|public
Acute diabete complication|ICD-11: 5A2Y|public
Adrenomedullary hyperfunction|ICD-11: 5A75|public
Alloimmune thrombocytopenia|ICD-11: 3B64.13|public
Analgesia|ICD-11: MB40.8|public
Angioedema|ICD-11: 4A00.15|public
Antimicrobial drug resistance|ICD-11: MG50-MG52|public
Aplastic anaemia|ICD-11: 3A70|public
Attention deficit hyperactivity disorder|ICD-11: 6A05|public
B-cell prolymphocytic leukaemia|ICD-11: 2A82.1|public
Breast cancer|ICD-11: 2C60-2C65|public
Cholera|ICD-11: 1A00|public
Chronic heart failure|ICD-11: BD1Z|public
Chronic tympanic membrane perforation|ICD-11: AB13|public
Clotting disorder|ICD-11: 3B4Z|public
Conduction disorder|ICD-11: BC63|public
Contusion|ICD-11: ND56.0|public
Cutaneous squamous cell carcinoma|ICD-11: 2C30|public
Diffuse large B-cell lymphoma|ICD-11: 2A81|public
Digestive system disease|ICD-11: DE2Z|public
Ependymoma|ICD-11: 2A00.0Y|public
Erectile dysfunction|ICD-11: HA01.1|public
Exocrine pancreatic insufficiency|ICD-11: DC35.1|public
Eye anterior segment structural developmental anomaly|ICD-11: LA11|public
Fear-related disorder|ICD-11: 6B0Z|public
Gallbladder/bile ducts/liver structural developmental anomaly|ICD-11: LB20|public
Gastro-oesophageal reflux disease|ICD-11: DA22|public
Glioblastoma of brain|ICD-11: 2A00.00|public
HIV-associated diarrhoea|ICD-11: 1A2Z|public
Hematopoietic stem cell transplantation|ICD-11: QB63|public
Hereditary amyloidosis|ICD-11: 5D00.2|public
Hidradenitis suppurativa|ICD-11: ED92.0|public
Hyper-lipoproteinaemia|ICD-11: 5C80|public
Hyperlipidemia|ICD-11: 5C80|public
IgA nephropathy|ICD-11: MF8Y|public
Inborn lipid metabolism error|ICD-11: 5C52|public
Influenza A virus H1N1 infection|ICD-11: 1E30|public
Influenza A virus H3N2 infection|ICD-11: 1E30|public
Intrahepatic cholangiocarcinoma|ICD-11: 2C12.10|public
Joint direct infection|ICD-11: FA10|public
Juvenile idiopathic arthritis|ICD-11: FA24|public
Kidney failure|ICD-11: GB60-GB6Z|public
Kidney transplant rejection|ICD-11: NE84|public
Kinetoplastids|ICD-11: 1F61-1G2Z|public
Lung inflammation|ICD-11: CA40.Z|public
Lung injury|ICD-11: NB32.3Z|public
Macular degeneration|ICD-11: 9B75|public
Miosis|ICD-11: LA11.62|public
Muscle calcification/ossification|ICD-11: FB31|public
Muscular atrophy|ICD-11: 8B61|public
Myotonic dystrophy|ICD-11: 8C71.0|public
Nail plate acquired deformity|ICD-11: EE10|public
Neonatal hyperbilirubinaemia|ICD-11: KA87|public
Non-thrombocytopenic purpura|ICD-11: 3B60|public
Nonvalvular atrial fibrillation|ICD-11: BC81.3Y|public
Obesity|ICD-11: 5B81|public
Peroxisomal disorder|ICD-11: 5C57|public
Phlegmy cough|ICD-11: SA80-SA8Z|public
Post-transplant lymphoproliferative disorder|ICD-11: 2B32|public
Premature ejaculation|ICD-11: HA03.0Z|public
Propionic acidemia|ICD-11: 5C50.E0|public
Prostate cancer|ICD-11: 2C82.0|public
Rectosigmoid junction cancer|ICD-11: 2B91.Z|public
Recurrent adult burkitt lymphoma|ICD-11: 2A85.6|public
Respiratory depression|ICD-11: MD11.5|public
Reticular veins|ICD-11: EF20|public
Scapulohumeral periarthritis|ICD-11: FB53|public
Seasonal influenza|ICD-11: 1E30|public
Skin photoaging|ICD-11: EJ20|public
Sleep-wake disorder|ICD-11: 7A00-7B2Z|public
Tardive dyskinesia|ICD-11: 8A02.10|public
Thrombocytosis|ICD-11: 3B63|public
Tonus and reflex abnormality|ICD-11: MB47|public
Wilson disease|ICD-11: 5C64.00|public
X-linked myotubular myopathy|ICD-11: 8C72|public
XY disorder of sex development due to androgen resistance|ICD-11: LD2A.4|public
#N/A	#N/A|""|public
Acute decompensated heart failure|ICD-11: BD1Z|public
Acute intermittent hepatic porphyria|ICD-11: 5C58.11|public
Acute laryngitis/tracheitis|ICD-11: CA05|public
Advanced malignancy|ICD-11: 2A00-2F9Z|public
Aerodigestive tract cancer|ICD-11: 2C29.Z|public
Amyloid polyneuropathy|ICD-11: 5D00.20|public
Atrial flutter|ICD-11: BC81.2Z|public
Autosomal dominant polycystic kidney disease|ICD-11: GB81|public
Bacterial infection|ICD-11: 1A00-1C4Z|public
Bronchiectasis|ICD-11: CA24|public
COPD|ICD-11: 1D6Y|public
Cancer related pain|ICD-11: MG30|public
Cestodes infection|ICD-11: 1F70-1F76|public
Chlamydia infection|ICD-11: 1A81|public
Chronic skin disorder|ICD-11: ME63|public
Chronic/stable angina|ICD-11: BA40.1|public
Colon cancer|ICD-11: 2B90|public
Contact dermatitis|ICD-11: EK00-EK0Z|public
Convulsion|ICD-11: 8A68.Z|public
Coronavirus infection|ICD-11: 1D92|public
Cytomegalovirus Disease|ICD-11: 1D82|public
Dementia|ICD-11: 6D80-6D86|public
Dengue fever|ICD-11: 1D2Z|public
Diabetic angiopathy|ICD-11: BD53.Y|public
Discovery agent|ICD-11: N.A.|public
Dyspepsia|ICD-11: MD92|public
Dystrophic epidermolysis bullosa|ICD-11: EC32|public
Enterobacteriaceae infection|ICD-11: MG50.C|public
Epithelial ovarian cancer|ICD-11: 2B5D|public
Fabry disease|ICD-11: 5C56.01|public
Glanders|ICD-11: 1B92|public
Gonococcal infection|ICD-11: 1A70-1A7Z|public
Haemophilia A|ICD-11: 3B10.0|public
Healthcare-associated pneumonia|ICD-11: CA00-CA40|public
Hematologic tumour|ICD-11: 2B33.Y|public
Hemorrhagic cystitis|ICD-11: GC00.1|public
Henipavirus Encephalitis|ICD-11: 1D63|public
Herbicide|ICD-11: N.A.|public
Hyperthermia|ICD-11: MG26|public
Hypertriglyceridemia|ICD-11: 5C80.1|public
Hypoglycemia|ICD-11: 5A41|public
Idiopathic CD4+ lymphocytopenia|ICD-11: 4A00.2|public
Inflammatory breast cancer|ICD-11: 2C62|public
Inherited coagulation factor deficiency|ICD-11: 3B14|public
Insulin-resistant disorder|ICD-11: 5A44|public
Intermittent claudication|ICD-11: BD40.00|public
Ischaemic/haemorrhagic stroke|ICD-11: 8B20|public
Kidney stone|ICD-11: GB70.0Z|public
LambertEaton myasthenic syndrome|ICD-11: 8C62|public
Left ventricular dysfunction|ICD-11: BD11|public
Leptospira infection|ICD-11: 1B91|public
Lipid metabolism disorder|ICD-11: 5C52.Z|public
Lleum inflammation|ICD-11: 1A40.0|public
Lower limb mononeuropathy|ICD-11: 8C11|public
Lyme disease|ICD-11: 1C1G|public
Mature T-cell lymphoma|ICD-11: 2A90|public
Menstrual disorder|ICD-11: GA20.3|public
Metastatic renal cancer|ICD-11: 2D50|public
Metastatic sarcoma|ICD-11: 2D50-2E2Z|public
Mineral deficiency|ICD-11: 5B5K|public
Nausea and vomiting|ICD-11: MD90|public
Oral cancer|ICD-11: 2B6E|public
Osteosarcoma|ICD-11: 2B51|public
Ovarian dysfunction|ICD-11: 5A80|public
Pancreatic exocrine dysfunction|ICD-11: DC3Z|public
Post-traumatic stress disorder|ICD-11: 6B40|public
Pressure ulcers|ICD-11: EH90|public
Psoriasis|ICD-11: EA90|public
Renal transplantation|ICD-11: NE84|public
Reperfusion injury|ICD-11: ND56.Z|public
Salmonella typhoid|ICD-11: 1A09|public
Sarcoidosis|ICD-11: 4B20.5|public
Sleep-related breathing disorder|ICD-11: 7A4Z|public
Type-1/2 diabetes|ICD-11: 5A10-5A11|public
#N/A|#N/A|public
Acute upper respiratory infection|ICD-11: CA07|public
Adjuvant ovarian cancer|ICD-11: 2C73|public
Age-related macular degeneration|ICD-11: 9B75.0|public
Alagille syndrome|ICD-11: LB20.0Y|public
Allodynia|ICD-11: MB40.1|public
Arginase 1 deficiency|ICD-11: 5C50.A2|public
Atypical teratoid/rhabdoid tumour|ICD-11: 2A00.1Y|public
Blepharospasm|ICD-11: 9A05.Z|public
Chikungunya virus infection|ICD-11: 1D40|public
Chordoma|ICD-11: 5A61.0|public
Chronic neuropathic pain|ICD-11: MG30.5|public
Contact dermatitis|ICD-11: EK0Z|public
Contraception|ICD-11: QA21|public
Coronary vasospastic disease|ICD-11: BA85|public
Cushing syndrome|ICD-11: 5A70|public
Edema|ICD-11: MG29|public
Endocrine disease|ICD-11: 5B3Z|public
Enzyme deficiency|ICD-11: 5C51-5C57|public
Epidermal dysplasias|ICD-11: EK90|public
Gastrointestinal ulcer|ICD-11: DA60.Z|public
Heart arrhythmia|ICD-11: BC65|public
Hemorrhoids|ICD-11: DB60|public
Hepatitis C virus infection|ICD-11: 1E51.1|public
Hereditary inclusion body myositis|ICD-11: 4A41.2|public
Homozygous familial hypercholesterolemia|ICD-11: 5C80.00|public
Horner syndrome|ICD-11: 8D8A.1|public
Human immunodeficiency virus infection|ICD-11: 1C62|public
Hunter syndrome|ICD-11: 5C56.31|public
Hypersomnia|ICD-11: 7A21|public
Hypo-glycaemia|ICD-11: 5A41|public
Immune thrombocytopenia|ICD-11: 3B64|public
Intestinal strongyloidiasis due to nematode parasite|ICD-11: 1F6B|public
Kidney/heart transplant rejection|ICD-11: NE84|public
Lysosomal storage disease|ICD-11: 5C56.Z|public
Male infertility|ICD-11: GB04|public
Mammary tumour|ICD-11: 2C60-2C6Z|public
Mesothelin positive tumour|ICD-11: 2C51-2F10|public
Metabolic acidosis|ICD-11: 5C73|public
Metastatic biliary tract neoplasms|ICD-11: 2C14-2C17|public
Multiple system atrophy|ICD-11: 8D87.0|public
Myocardial ischemia|ICD-11: BA6Z|public
Necrotizing soft tissue infection|ICD-11: 1B71|public
Nematode disease|ICD-11: 1F6Y|public
Nephritic syndrome|ICD-11: GB40|public
Opioid dependence|ICD-11: 6C43.2Z|public
Optic neuritis|ICD-11: 9C40.1|public
Osteogenesis imperfecta|ICD-11: LD24.K0|public
Osteonecrosis|ICD-11: FB81|public
Osteopetrosis|ICD-11: LD24.10|public
Perianal wart|ICD-11: 1A95|public
Peritoneal cancer|ICD-11: 2C51.Z|public
Pineoblastoma|ICD-11: 2A00.20|public
Plasmodium falciparum malaria|ICD-11: 1F40|public
Polyomavirus infection|ICD-11: 1C80|public
Postoperative inflammation|ICD-11: 1A00-CA43|public
Proteus syndrome|ICD-11: LD2C|public
Prurigo nodularis|ICD-11: EC91.0|public
Pulmonary thromboembolism|ICD-11: BB00|public
Reflux disease|ICD-11: DA22|public
Sanfilippo syndrome|ICD-11: 5C56.3Y|public
Sinusitis|ICD-11: CA0A.Z|public
Sjogren syndrome|ICD-11: 4A43|public
Soft tissue disorder|ICD-11: FB56|public
Substance abuse|ICD-11: 6C40|public
Trypanosomiasis|ICD-11: 1D51-1F53|public
Uveitis|ICD-11: 9A96.Z|public
Vaso-occlusive crisis|ICD-11: BE2Y|public
Ventricular tachyarrhythmia|ICD-11: BC71|public
Abortion|ICD-11: JA00|public
Acquired hypermelanosis|ICD-11: ED60|public
Acute hyperammonaemia|ICD-11: 5C50.A|public
Acute otitis media|ICD-11: AB00|public
Acute respiratory distress syndrome|ICD-11: CB00|public
Advanced gum disease|ICD-11: DA0D|public
Al amyloidosis|ICD-11: 5D00.0|public
Allergic rhinitis|ICD-11: CA08.0|public
Arteries/arterioles disorder|ICD-11: BD52|public
Bipolar disorder|ICD-11: 6A60|public
Blood brain barrier|ICD-11: 5C61.5|public
Burn and burn infection|ICD-11: ND90-NE2Z|public
CNS birth injury|ICD-11: KA40|public
Chronic pain|ICD-11: MG30|public
Circadian rhythm sleep disorder|ICD-11: 7A60-7A65|public
Clostridium difficile associated diarrhea|ICD-11: 1A04|public
Corneal neovascularization|ICD-11: 9A78|public
Emphysema|ICD-11: CA21|public
Encephalitis virus infection|ICD-11: 1C83-1C84|public
Endometrial cancer|ICD-11: 2C76|public
Fragile X syndrome|ICD-11: LD55|public
Giant cell arteritis|ICD-11: 4A44.2|public
Haemophilia B|ICD-11: 3B11.0|public
Head and neck cancer|ICD-11: 2D42|public
Hemorrhagic shock|ICD-11: MG40.1|public
Hyperhidrosis|ICD-11: EE00|public
Inborn error of metabolism|ICD-11: 5C50-5C59|public
Labour/delivery anaesthesia complication|ICD-11: JB0C|public
Liver vascular disorder|ICD-11: DB98|public
Malignant rhabdoid tumour|ICD-11: 2A00.1Y|public
Meniere disease|ICD-11: AB31.0|public
Metabolic disorder|ICD-11: 5C50-5D2Z|public
Metastatic cancer|ICD-11: 2D50-2E2Z|public
Myasthenia gravis|ICD-11: 8C60|public
Neisseria meningitis infection|ICD-11: 1C1C.0|public
Nervous system disease|ICD-11: 8A00-8E7Z|public
Neuromyelitis optica spectrum disorder|ICD-11: 8E4A.0|public
Neurotransmitter metabolic error|ICD-11: 5C59|public
Non-syndromic ichthyosis|ICD-11: EC20.0Y|public
Norovirus infection|ICD-11: 1A23|public
Penile squamous cancer|ICD-11: 2C81|public
Peripheral nerve damage|ICD-11: ND56.4|public
Primary sclerosing cholangitis|ICD-11: DB96.2|public
Pulmonary emphysema|ICD-11: CA21.Z|public
Respiratory papillomatosis|ICD-11: 2F00.1|public
Respiratory tract inflammation|ICD-11: CA07|public
Sarcoidosis|ICD-11: 4B20|public
Severe acute respiratory syndrome (SARS)|ICD-11: 1D65|public
Sex development malformative disorder|ICD-11: LD2A|public
Shigella diarrhea|ICD-11: 1A02|public
Skin inflammation|ICD-11: EF20.Y|public
Thrombocythemia|ICD-11: 3B63|public
Thrombotic thrombocytopenic purpura|ICD-11: 3B64.14|public
Transthyretin amyloid cardiomyopathy|ICD-11: 5D00.20|public
Xerophthalmia|ICD-11: 5B55.Y|public
infection associated with diabetic foot ulcers|ICD-11: BD54|public
Acquired melanotic macule/lentigine|ICD-11: ED61|public
Acute asthma|ICD-11: CA23|public
Acute biphenotypic leukaemia|ICD-11: 2B33.4|public
Acute cardiac ischemia|ICD-11: BA4Z|public
Aortic aneurysm|ICD-11: BD50|public
Autism spectrum disorder|ICD-11: 6A02|public
Brain cancer|ICD-11: 2A00|public
Bronchopulmonary dysplasia|ICD-11: KB29.0|public
Castlemans disease|ICD-11: 4B2Y|public
Cataract|ICD-11: 9B10|public
Cervical cancer|ICD-11: 2C77.0|public
Chronic arterial occlusive disease|ICD-11: BD4Z|public
Chronic lower extremities peripheral venous insufficiency|ICD-11: BD74|public
Chronic lung disease|ICD-11: CA20.11|public
Colitis|ICD-11: 1A40.Z|public
Colorectal cancer|ICD-11: 2B91|public
Complex partial seizure|ICD-11: 8A68.0|public
Conjunctivitis|ICD-11: 9A60|public
Cornea epithelial defect|ICD-11: 9A78|public
Dermal/subcutaneous connective tissue atrophy/degeneration|ICD-11: EE40|public
Dermatological disease|ICD-11: DA24.Y|public
Eclampsia|ICD-11: JA25|public
Enterocolitis|ICD-11: 1A40.Z|public
Enthesopathy|ICD-11: FB53-FB55|public
Fertility problem|ICD-11: 5A61|public
Follicular lymphoma|ICD-11: 2A80|public
Gestational trophoblastic neoplasia|ICD-11: 2F33-2F76|public
Glabellar frown line|ICD-11: NA0Z|public
Globoid cell leukodystrophy|ICD-11: 8A44.4|public
Graft-versus-host disease|ICD-11: 4B24|public
Hairy cell leukaemia|ICD-11: 2A82.2|public
Hirsutism|ICD-11: ED72|public
Hypoplastic left heart syndrome|ICD-11: LA89.3|public
Infection of P. falciparum|ICD-11: 1F40|public
Inflammation|ICD-11: 1A00-CA43.1|public
Iron overload disease|ICD-11: 5C64.10|public
Ischemic heart disease|ICD-11: BA40-BA6Z|public
Knee injuries|ICD-11: NC9Z|public
Knee osteoarthritis|ICD-11: FA01|public
Leukodystrophy|ICD-11: 8A44|public
Liver failure|ICD-11: DB99.7|public
Lupus erythematosus|ICD-11: 4A40|public
Marginal zone lymphoma|ICD-11: 2A85.0|public
Mature B-cell lymphoma|ICD-11: 2A85|public
Metapneumovirus infection|ICD-11: CA40.13|public
Metastatic breast cancer|ICD-11: 2C6Y|public
Metastatic liver/bile duct neoplasm|ICD-11: 2D80|public
Metastatic peritoneum neoplasm|ICD-11: 2D91|public
Morton neuroma|ICD-11: 8C11.6|public
Mycoses|ICD-11: 1F2Z|public
Neovascular age-related macular degeneration|ICD-11: 9B78.3Z|public
Nervous system inflammation|ICD-11: 1D0Y|public
Neuromuscular disease|ICD-11: 8C6Y|public
Neurotrophic keratitis|ICD-11: 9A74|public
Non-erosive gastro-esophageal reflux disease|ICD-11: DA22.0|public
Ovulation dysfunction|ICD-11: 5A80|public
Panic attacks|ICD-11: MB23.H|public
Peripheral vascular disease|ICD-11: BD4Z|public
Peritoneal metastasis|ICD-11: 2D91|public
Pigmented villonodular synovitis|ICD-11: FA27.1|public
Pituitary gland disorder|ICD-11: 5A60-5A61|public
Postherpetic neuralgia|ICD-11: 1E91.5|public
Primitive neuroectodermal tumour medulloblastoma|ICD-11: 2A00.11|public
Prostate disease|ICD-11: GA91|public
Prostate hyperplasia|ICD-11: GA90|public
Pulmonary fibrosis|ICD-11: CB03.4|public
Retinal inflammation|ICD-11: 9B72|public
Retinal vein occlusion|ICD-11: 9B74|public
Seasonal allergic rhinitis|ICD-11: CA08.01|public
Shingles|ICD-11: 1E91|public
Sinus rhythm disorder|ICD-11: BC9Y|public
Testicular cancer|ICD-11: 2C80|public
Thyroid cancer|ICD-11: 2D10|public
Tinea versicolor|ICD-11: 1F2D.0|public
Urinary tract infection|ICD-11: GC08|public
Uterine serous carcinoma|ICD-11: 2C72.1|public
Vulnerary|ICD-11: ND56.Z|public
Acute graft versus host disease|ICD-11: 4B24.0|public
Aging skin|ICD-11: EE40|public
Amenorrhea|ICD-11: GA20.0|public
Amyloid transthyretin cardiomyopathy|ICD-11: 5D00.20|public
Arterial occlusive disease|ICD-11: BD40|public
Arthralgia|ICD-11: ME82|public
B-cell lymphoma|ICD-11: 2A86|public
Bleeding disorder|ICD-11: GA20-GA21|public
Bone growth disorder|ICD-11: FB86|public
Brain injury|ICD-11: NA07.Z|public
Carbacephem|ICD-11: 1A00-1C4Z|public
Cerebrovascular disease|ICD-11: 8B2Z|public
Chemotherapy or radiotherapy-induced mucositis|ICD-11: DA42-DA60|public
Choroidal dystrophy|ICD-11: 9B61|public
Chronic idiopathic constipation|ICD-11: DC32|public
Coeliac disease|ICD-11: DA95|public
Cold type autoimmune haemolytic anemia|ICD-11: 3A20.1|public
Dysplasia|ICD-11: LB30-LD2F|public
Familial chylomicronemia syndrome|ICD-11: 5C80|public
Fecal incontinence|ICD-11: ME07|public
Gastric disease|ICD-11: DA40-DA7Z|public
Geographic retinal atrophy|ICD-11: 9B78.9|public
Glomerulonephritis|ICD-11: 5D00.Y|public
Graft rejection in heart transplantation|ICD-11: NE84|public
Hand, foot and mouth disease|ICD-11: 1F05.0|public
Hemangioma|ICD-11: 2E81-2F2Y|public
Hepatitis D virus infection|ICD-11: 1E51.2|public
Herpes simplex infection|ICD-11: 1F00|public
Hormone receptor positive and HER2-negative advanced or metastatic breast cancer|ICD-11: 2C60-2C65|public
Hyperkalemia|ICD-11: 5C76|public
Hypophosphatasia|ICD-11: 5C64.3|public
Idiopathic thrombocytopenic purpura|ICD-11: 3B64.10|public
Inborn carbohydrate metabolism error|ICD-11: 5C51|public
Increased intracranial pressure|ICD-11: 8D60|public
Interstitial cystitis|ICD-11: GC00.3|public
Intra-abdominal infection|ICD-11: 1A40|public
Laxative|ICD-11: FA34.1|public
Leishmania braziliensis infection|ICD-11: 1F54.2|public
Liver metastasis|ICD-11: 2D80|public
Low bone mass disorder|ICD-11: FB83|public
Malignant neoplasm|ICD-11: 2A00-2F9Z|public
Malignant thymoma|ICD-11: 2C27.2|public
Mast cell leukaemia|ICD-11: 2A21.00|public
Menkes disease|ICD-11: 5C64.0|public
Mesothelial tumour|ICD-11: 2F10|public
Metachromatic leukodystrophy|ICD-11: 5C56.02|public
Metastatic colorectal cancer|ICD-11: 2B91|public
Metastatic non-hodgkin's lymphoma|ICD-11: 2B33.5|public
Methamphetamine use disorder|ICD-11: 6C46|public
Molybdenum cofactor deficiency|ICD-11: 5B5K.A|public
Mucopolysaccharidosis type IIIB|ICD-11: 5C56.3Y|public
Multidrug resistant infection|ICD-11: MG51|public
Muscular pain|ICD-11: FB56|public
Neoplasm|ICD-11: 2A00-2F9Z|public
Neurologic conditions associated with aminoacylase 1 deficiency|ICD-11: 5C50.E1|public
Nodal marginal zone lymphoma|ICD-11: 2A85.0|public
Ocular allergy|ICD-11: 4A81|public
Parasitic worm infestation|ICD-11: 1F90|public
Perianal crohn disease|ICD-11: DD70.4|public
Plasmodium vivax malaria|ICD-11: 1F41|public
Pleomorphic sarcoma|ICD-11: 2B54|public
Pneumonia due to Klebsiella pneumoniae|ICD-11: CA40.03|public
Psychomotor agitation|ICD-11: MB23.M|public
Pulmonary disease|ICD-11: 1B10-1F85|public
Subacute cutaneous lupus erythematosus|ICD-11: EB50|public
Transthyretin amyloidosis|ICD-11: 5D00|public
Tremor-related disorder|ICD-11: 8A04|public
Unspecific substance use disorder|ICD-11: 6C4Z|public
Vascular purpura|ICD-11: 3B60|public
Yersinia infection|ICD-11: 1B93|public
Abdominal pelvic pain|ICD-11: MD81|public
Aberrant vascularization|ICD-11: BE2Z|public
Acute coronary syndrome|ICD-11: BA41|public
Acute kidney injury|ICD-11: GB60|public
Acute myelogenous leukaemia|ICD-11: 2A41|public
Acute/chronic pain|ICD-11: MG30-MG31|public
Alpha-1 antitrypsin deficiency|ICD-11: 5C5A|public
Autoimmune diabetes|ICD-11: 5A10|public
B-cell acute lymphoblastic leukaemia|ICD-11: 2B33.3|public
Bardet biedl syndrome|ICD-11: 5A61.0|public
Bladder disease|ICD-11: DC11-DC1Z|public
Bordetella pertussis infection|ICD-11: 1C12.0|public
CLN2 Batten disease|ICD-11: 5C56|public
Calcific uremic arteriolopathy|ICD-11: EB90.42|public
Cervical dystonia|ICD-11: 8A02.0Y|public
Chemoprotection|ICD-11: N.A.|public
Chronic alcoholism|ICD-11: 6C40.2Z|public
Chronic idiopathic urticaria|ICD-11: EB00.1|public
Community-acquired pneumonia|ICD-11: CA40.Z|public
Constitutional neutropenia|ICD-11: 4B00.0|public
Copper metabolism disorder|ICD-11: 5C64.0|public
Dermatitis|ICD-11: EA80-EA89|public
Duchenne dystrophy|ICD-11: 8C70|public
Ejaculatory dysfunction|ICD-11: HA03|public
Enterobiasis|ICD-11: 1F65|public
Extranodal NK/T-cell Lymphoma|ICD-11: 2A90.6|public
Fibrodysplasia ossificans progressiva|ICD-11: FB31.1|public
Filariasis|ICD-11: 1F66|public
Genital herpes|ICD-11: 1A94|public
Geographic atrophy|ICD-11: 9B75|public
Growth hormone deficiency|ICD-11: 5A61.3|public
Haematological malignancy|ICD-11: 2B33.Y|public
Hair/hair growth developmental defect|ICD-11: LC30|public
Heart attack|ICD-11: BA41|public
